Date,Open,High,Low,Close,Adj Close,Volume
2023-01-18,595.900024,597.150024,587.599976,591.450012,580.175720,11538075
2023-01-19,591.000000,591.750000,587.549988,589.849976,578.606201,7475688
2023-01-20,593.799988,596.599976,590.799988,592.200012,580.911438,6750607
2023-01-23,598.500000,601.750000,592.950012,600.450012,589.004150,6604469
2023-01-24,603.500000,604.599976,593.049988,594.349976,583.020386,7609623
2023-01-25,595.849976,595.849976,567.400024,568.700012,557.859375,25686294
2023-01-27,568.000000,568.549988,532.250000,539.950012,529.657410,40163464
2023-01-30,536.000000,554.349976,525.200012,538.200012,527.940796,40797825
2023-01-31,545.000000,557.000000,537.849976,553.500000,542.949097,21911943
2023-02-01,561.400024,565.000000,499.350006,527.349976,517.297546,38218810
2023-02-02,520.200012,532.650024,502.500000,528.099976,518.033264,39287056
2023-02-03,536.000000,545.950012,519.150024,544.200012,533.826416,32317232
2023-02-06,558.799988,558.799988,536.549988,545.400024,535.003540,25338586
2023-02-07,548.000000,551.400024,541.049988,547.099976,536.671082,16195947
2023-02-08,550.000000,554.500000,545.500000,549.750000,539.270630,15502847
2023-02-09,552.000000,552.000000,542.799988,550.799988,540.300598,15061047
2023-02-10,546.500000,557.250000,546.500000,553.049988,542.507690,13824475
2023-02-13,554.000000,556.900024,533.299988,537.500000,527.254150,18488732
2023-02-14,539.950012,544.599976,530.750000,540.849976,530.540222,18559909
2023-02-15,540.000000,544.650024,536.799988,542.250000,531.913574,12796579
2023-02-16,546.849976,546.849976,538.500000,540.099976,529.804504,12767016
2023-02-17,538.500000,539.650024,527.750000,531.000000,520.878052,14192008
2023-02-20,532.000000,533.950012,522.150024,525.150024,515.139587,12570032
2023-02-21,527.099976,528.950012,522.400024,523.450012,513.471985,10223218
2023-02-22,520.750000,521.900024,512.500000,516.349976,506.507263,14763050
2023-02-23,516.950012,524.000000,511.350006,521.000000,511.068634,15535085
2023-02-24,524.200012,527.500000,517.599976,521.049988,511.117676,12253035
2023-02-27,521.099976,529.799988,519.000000,527.700012,517.640930,11048799
2023-02-28,527.250000,528.450012,521.049988,522.799988,512.834351,15768010
2023-03-01,523.250000,537.400024,523.099976,536.700012,526.469360,13510198
2023-03-02,535.950012,539.900024,532.500000,533.750000,523.575623,10376913
2023-03-03,542.000000,564.299988,541.750000,561.200012,550.502380,27656538
2023-03-06,564.900024,567.900024,559.000000,561.700012,550.992859,16162268
2023-03-08,560.000000,565.500000,556.450012,564.799988,554.033691,12637578
2023-03-09,564.750000,565.750000,558.000000,558.900024,548.246216,8993423
2023-03-10,553.099976,554.950012,545.000000,547.349976,536.916321,11522371
2023-03-13,547.000000,553.150024,528.450012,530.000000,519.897095,14373729
2023-03-14,527.650024,532.799988,520.000000,525.400024,515.384766,14750800
2023-03-15,529.799988,532.000000,515.549988,517.549988,507.684387,11282329
2023-03-16,518.400024,529.349976,514.299988,524.500000,514.501953,20040008
2023-03-17,528.650024,531.599976,520.099976,529.799988,519.700867,18787379
2023-03-20,526.599976,526.599976,515.000000,519.200012,509.302979,14275315
2023-03-21,522.000000,523.450012,516.450012,521.849976,511.902405,29485180
2023-03-22,522.200012,527.000000,520.099976,521.549988,511.608154,11619538
2023-03-23,519.400024,521.000000,511.500000,512.750000,502.975922,22097792
2023-03-24,514.500000,514.950012,503.450012,505.350006,495.716980,14416984
2023-03-27,507.000000,514.150024,501.549988,510.149994,500.425476,15674218
2023-03-28,511.450012,511.750000,503.850006,508.100006,498.414551,15833599
2023-03-29,509.000000,518.000000,506.299988,516.500000,506.654419,24203789
2023-03-31,520.650024,524.900024,519.349976,523.750000,513.766235,17356345
2023-04-03,524.750000,528.500000,522.099976,526.750000,516.709045,14210949
2023-04-05,527.000000,527.599976,519.049988,523.000000,513.030518,13574801
2023-04-06,524.000000,533.700012,521.650024,527.650024,517.591919,25125879
2023-04-10,529.250000,530.400024,524.400024,526.299988,516.267578,17335453
2023-04-11,530.849976,535.700012,527.150024,532.099976,521.957031,26414406
2023-04-12,533.200012,534.000000,526.000000,528.200012,518.131409,21292441
2023-04-13,529.299988,534.250000,527.150024,532.950012,522.790894,28597560
2023-04-17,528.000000,545.000000,528.000000,544.000000,533.630188,32476990
2023-04-18,545.349976,548.500000,540.500000,545.849976,535.444946,22283456
2023-04-19,544.000000,547.500000,538.250000,540.299988,530.000732,21156372
2023-04-20,541.200012,545.450012,536.650024,544.799988,534.414978,25588577
2023-04-21,545.000000,546.400024,539.700012,543.150024,532.796448,22599418
2023-04-24,543.799988,555.549988,543.500000,554.599976,544.028137,23335611
2023-04-25,555.000000,567.900024,555.000000,561.799988,551.090881,38142390
2023-04-26,562.000000,567.000000,556.450012,566.349976,555.554138,23143882
2023-04-27,565.000000,567.400024,561.099976,564.750000,553.984680,17845169
2023-04-28,567.799988,580.450012,565.500000,578.299988,567.276367,16183423
2023-05-02,580.000000,580.849976,573.150024,575.299988,564.333557,13667511
2023-05-03,570.650024,575.000000,569.000000,570.500000,559.625061,9699527
2023-05-04,570.200012,580.799988,568.500000,580.000000,568.943970,12533761
2023-05-05,580.200012,588.250000,575.049988,576.500000,565.510681,18163461
2023-05-08,577.650024,587.599976,577.349976,583.599976,572.475342,12990869
2023-05-09,585.000000,586.450012,572.099976,573.500000,562.567871,18959065
